enrollment_id,user_id,course_id,status,enrolled_at
1,4320,18,inactive,2025-10-05 13:45:39
2,6541,30,inactive,2025-07-19 17:42:43
3,15896,80,inactive,2025-03-30 10:27:20
4,16694,60,active,2025-10-03 02:22:11
5,9278,144,active,2025-10-06 07:44:07
6,9030,42,inactive,2025-11-30 14:52:22
7,15766,199,inactive,2025-07-14 06:03:53
8,10241,191,inactive,2025-10-14 00:03:19
9,4611,167,active,2025-07-31 21:54:17
10,14718,44,inactive,2025-08-17 16:48:01
11,12899,12,inactive,2025-06-19 06:46:45
12,1746,53,active,2025-05-02 16:33:46
13,17092,106,inactive,2026-01-05 17:37:00
14,15213,23,active,2025-06-10 11:56:56
15,17890,86,inactive,2025-03-02 18:42:23
16,7238,143,active,2025-09-15 20:29:18
17,92,88,inactive,2025-05-28 09:43:30
18,3165,151,inactive,2025-04-08 12:41:13
19,8036,123,inactive,2025-09-17 21:02:11
20,923,16,inactive,2025-05-31 18:21:53
21,11742,99,inactive,2026-01-27 11:45:48
22,13371,7,active,2025-04-24 06:36:20
23,5955,91,active,2025-11-13 13:25:47
24,18302,30,inactive,2025-05-28 20:36:08
25,8632,154,active,2025-03-21 09:42:37
26,18343,31,inactive,2025-11-17 16:36:36
27,13959,177,active,2025-08-28 23:11:19
28,17333,168,inactive,2025-05-01 19:11:54
29,10624,114,inactive,2025-07-16 03:00:05
30,6689,86,inactive,2026-01-31 07:00:05
31,3841,141,active,2025-07-07 14:13:32
32,18108,164,active,2025-04-17 14:26:29
33,12855,90,inactive,2025-10-18 22:16:06
34,18221,41,inactive,2025-10-13 23:55:51
35,8584,113,active,2025-08-31 00:41:50
36,13441,187,inactive,2025-10-09 02:21:33
37,13045,187,inactive,2025-04-17 08:44:50
38,15870,148,inactive,2025-11-07 07:29:27
39,4729,14,inactive,2025-08-03 15:39:01
40,17062,55,active,2025-10-30 07:16:59
41,17559,107,active,2026-01-21 05:29:08
42,2640,121,inactive,2025-09-02 18:41:58
43,10970,59,active,2025-09-27 00:22:43
44,13913,182,active,2025-07-11 04:00:48
45,4632,81,active,2025-03-05 19:54:59
46,7309,144,inactive,2025-11-10 15:27:05
47,3269,100,active,2025-11-22 01:02:11
48,19246,185,inactive,2025-10-03 18:21:22
49,7080,92,active,2026-01-10 09:53:16
50,14449,162,inactive,2025-11-19 15:47:57
51,7878,72,inactive,2025-11-11 00:16:12
52,7119,20,inactive,2025-08-24 07:58:38
53,11238,165,active,2025-09-05 03:46:44
54,14688,178,active,2025-03-11 01:50:51
55,19889,62,inactive,2025-06-28 07:30:57
56,13929,126,inactive,2025-08-06 11:19:46
57,10231,11,active,2025-07-14 18:56:16
58,15921,86,active,2025-02-08 22:23:12
59,4083,24,active,2025-10-26 05:05:30
60,6498,87,active,2026-01-30 23:44:38
61,16944,184,active,2025-07-01 09:13:34
62,5428,173,active,2025-08-28 09:04:32
63,16655,81,inactive,2025-08-12 14:25:48
64,18862,195,inactive,2025-09-20 04:00:53
